module,member,visibility,kind,current_responsibility,path_source,returns_or_effect,assessment,recommendation
modDb,GetCurrentDatabase,Public,Function,"returns CurrentDb / current FE DAO.Database",n/a,DAO.Database,"useful but frontend-specific despite generic name","retain but clarify as frontend API or alias from new GetFrontendDatabase"
modDb,GetBackendPath,Public,Function,"returns active tenant backend path",TenantContext first; ini fallback,String,"tenant-only naming hidden behind generic backend wording","keep temporarily; likely become GetCurrentTenantBackendPath or wrapper to canonical tenant resolver"
modDb,ValidateBackendConfiguration,Public,Function,"validates configured tenant backend file exists",GetBackendPath,Boolean,"tenant-backend validation only","reuse for tenant backend validation after API consolidation"
modTenantContext,InitializeTenantContext,Public,Sub,"loads tenant id/code/name and builds tenant backend path",ini values DefaultTenantCode + BackendRoot,side-effect,"correct tenant runtime ownership","keep as tenant-path source of truth"
modTenantContext,CurrentTenantBackendPath,Public,PropertyGet,"exposes current tenant backend path",cached runtime state,String,"correct source for tenant backend path","reuse from canonical tenant DB resolver"
modConfigIni,ResolveConfigPath,Public,Function,"resolves ini path",CurrentProject path,String,"configuration only","keep"
modConfigIni,GetConfigValue,Public,Function,"reads raw ini config values",ini,String,"configuration only","keep"
modBasicModuleSchema,OpenSchemaDatabase,Private,Function,"resolves and opens schema target DB for order schema routines",explicit backend path; linked ord_order path; modDb.GetBackendPath,DAO.Database + shouldCloseDb,"contains resolver logic duplicated elsewhere and frontend fallback","replace in step 2 with canonical central API"
modBasicModuleSchema,ResolveLinkedTableBackendPath,Private,Function,"reads physical backend path from linked table connect string",TableDef.Connect,String,"useful low-level helper but duplicated elsewhere","merge into central resolver or modDbSchema-level helper"
modBasicModuleSchema,EnsureLinkedAccessTable,Private,Function,"refreshes/relinks FE linked table to backend path",backend path parameter,Boolean,"frontend relink helper","candidate for shared relink helper reuse"
modBackendLinker,RelinkBackendTables,Public,Function,"relinks linked access tables to active tenant backend",modDb.GetBackendPath + CurrentDb,Boolean,"tenant relink only; skips ref_language","keep as tenant relink service, but feed from canonical tenant backend API"
modMigrationPaymentTerms,ResolveBusinessBackendPath,Private,Function,"infers tenant backend path from linked tenant tables",ten_payment_term/doc_document/ord_order,String,"domain-specific resolver duplicate","remove after central tenant DB resolver exists"
modMigrationPaymentTerms,GetBackendPathForLinkedTable,Private,Function,"reads backend path from linked table connect string",TableDef.Connect,String,"duplicate of schema helper logic","remove after central helper exists"
modMigrationPaymentTerms,EnsureLinkedBackendTable,Private,Sub,"refresh/relink single linked FE table after schema migration",backend path parameter,side-effect,"domain-specific relink duplicate","replace with shared relink helper if possible"
modMigrationPaymentTerms,IsLinkedAccessTable,Private,Function,"checks whether FE table is linked via Access backend",TableDef.Connect,Boolean,"duplicate low-level helper","centralize"
