form_name,event,access_native_role,framework_role,observed_issue,assessment
frmAppShell,Form_Load,"shell form startup","translations + InitializeAppShell","Bootstrap, navigation ensure, seeding and workspace load all converge here","Too many responsibilities"
frmAppShell,Form_Current,"native current record event","RefreshShellStatus","Shell status refresh is acceptable but chatty","Acceptable with simplification"
frmAddressList,Form_Load,"initialize filter and list UI","load action menu + translations + workspace command config readiness","Mostly additive","Good baseline"
frmAddressList,Form_Current,"current row changes","action state refresh","Uses native current row appropriately","Good"
frmAddressDetail,Form_Load,"configure bound detail form","reference combo setup + translations","Mostly Access-native with additive framework services","Good"
frmAddressDetail,Form_BeforeUpdate,"native validation point","validation runtime","Good use of Access-native hook","Good"
frmAddressCockpit,Form_Load,"load bound current record","recordsource init + translations","Mostly additive, simple","Good"
frmAddressCockpit,ApplyWorkspaceOpenArgs,"none native in hosted context","address selection restore","Acceptable hosted-form adaptation","Good with host caveat"
frmOrderDetail,Form_Load,"detail form startup","reads pending payload if hosted","Indicates original hosted OpenArgs timing issue","Complex and fragile"
frmOrderDetailNext,Form_Load,"detail form startup","force empty recordsource, apply payload later","Access lifecycle is being worked around","Problematic but understandable"
frmOrderDetailNext,Form_Current,"current record sync","UpdateFormUi + subform config + combos","Too much repeated UI/state work in Current","Overloaded"
frmOrderDetailNext,CanLeaveWorkspace,"should answer leave question","also arms temp-session deletion","Decision and cleanup are mixed","Problematic"
sfrmOrderLinesNext,Form_BeforeInsert,"line defaults before first edit","manual temp-line initialization","Good place to set defaults","Good if bindings are design-time stable"
sfrmOrderLinesNext,AfterUpdate controls,"read current control values and save current row","recalculate current line and header totals","Business behavior is valid, but runtime event wiring is fragile","Needs simplification"
