module,line,procedure,expression,expected_context,current_behavior,risk,recommendation
modBasicModuleSchema,191,OpenSchemaDatabase,"DBEngine.OpenDatabase(targetBackendPath)",tenant_backend_or_explicit_backend,"opens explicit backend path or ord_order-linked backend","medium: helper is private and contains fallback-to-frontend behavior","replace with central resolver API"
modBasicModuleSchema,1431,OpenOrCreateAccessDatabase,"DBEngine.OpenDatabase(databasePath)",generic_access_db,"opens arbitrary access db path for helper use","low: utility helper but outside canonical backend API","document or fold into central db-open helper"
modMigrationPaymentTerms,87,ApplyPaymentTermsMigration,"DBEngine.OpenDatabase(backendPath)",tenant_backend,"opens physical backend resolved from linked tenant tables","medium: logic now correct for payment terms but duplicated","replace with modDb.GetCurrentTenantDatabase in step 2"
modAddressRepository,57,CreateAddress,"modDb.GetCurrentDatabase()",tenant_backend_table_adr_address,"uses CurrentDb wrapper for tenant table","high: if FE-linked assumption breaks, writes could target wrong physical context assumptions","inject tenant DAO.Database or use central GetCurrentTenantDatabase"
modContactRepository,44,CreateContact,"modDb.GetCurrentDatabase()",tenant_backend_table_adr_contact,"uses CurrentDb wrapper for tenant table","high","inject tenant DAO.Database or use central GetCurrentTenantDatabase"
modDocumentRepository,81,CreateDocument,"modDb.GetCurrentDatabase()",tenant_backend_table_doc_document,"uses CurrentDb wrapper for tenant table","high","inject tenant DAO.Database or use central GetCurrentTenantDatabase"
modOrderRepository,146,EnsureSalesOrderNumberRange,"modDb.GetCurrentDatabase()",tenant_backend_tables_ord_*_and_ten_numberrange,"uses CurrentDb wrapper for tenant tables","high","inject tenant DAO.Database or use central GetCurrentTenantDatabase"
modOrderCalculationService,170,RecalculateOrder,"modDb.GetCurrentDatabase()",tenant_backend_tables_ord_*","uses CurrentDb wrapper for tenant tables","high","inject tenant DAO.Database or use central GetCurrentTenantDatabase"
modTranslationService,240,InitializeTranslations,"modDb.GetCurrentDatabase()",system_backend_tables_fw_translation,"uses CurrentDb wrapper while fw_translation is architecturally system data","high","move to central GetSystemDatabase or explicit db parameter"
modFwTranslationRuntime,112,LoadTranslations,"currentDb",system_backend_table_fw_translation,"direct CurrentDb on translation store","high","use central system DB resolver"
modFwSetup,69,SeedTranslations,"currentDb",system_backend_fw/ref_seed_data,"seeding central translation/reference data via FE current db","high","system/tenant seeding must resolve target DB explicitly"
modFwSetup,721,InitializeRefVatCode,"currentDb",system_backend_ref_vat_code,"direct CurrentDb for system reference seed","high","use central GetSystemDatabase"
modFwSetup,758,InitializeRefUnit,"currentDb",system_backend_ref_unit,"direct CurrentDb for system reference seed","high","use central GetSystemDatabase"
modFwSetup,781,InitializeRefAddressType,"currentDb",system_backend_ref_address_type,"direct CurrentDb for system reference seed","high","use central GetSystemDatabase"
modFwSetup,805,InitializeRefSalutationAddressingMode,"currentDb",system_backend_ref_salutation_and_ref_addressing_mode,"direct CurrentDb for system reference seed","high","use central GetSystemDatabase"
modFwSetup,831,InitializeRefContactType,"currentDb",system_backend_ref_contact_type,"direct CurrentDb for system reference seed","high","use central GetSystemDatabase"
modFwSetup,1761,NormalizeLanguageCodeData,"currentDb",mixed_fw_translation_ref_language_adr_address,"single CurrentDb used across system and tenant tables in one routine","high","split by context and pass explicit databases"
modDemoDataSeeder,70,SeedDemoAddresses,"currentDb",tenant_backend_demo_data,"direct CurrentDb for tenant seed data","medium","use central tenant resolver or injected tenant db"
modBackendLinker,29,RelinkBackendTables,"GetBackendPath()",tenant_backend_relink,"relinks all linked access tables to tenant backend path only","medium: does not account for system backend tables","extend architecture with separate system vs tenant relink strategy"
