issue_id,severity,area,symptom,actual_cause,evidence,recommendation
OD-001,critical,State model,Neue und bestehende Bestellung verhalten sich uneinheitlich,Ein einziges gebundenes Formular schaltet zwischen tmp_order und ord_order um und nutzt mehrere konkurrierende Modussignale,"Form_Load 65-111, ApplyWorkspaceOpenArgs 409-469, ActivateTemporaryOrderContext 1003-1036",Separate controller state machine or controlled rebuild
OD-002,critical,Navigation,Nach Abbrechen oder Zurueck treten Not-Found Situationen auf,Temp-Daten werden in CanLeaveWorkspace oder CancelCurrentEdit geloescht bevor der Workspace-Wechsel garantiert abgeschlossen ist,"CanLeaveWorkspace 239-269, CancelCurrentEdit 820-862, OpenWorkspaceForm superseded/recovery 153-175",Delete temp data only after confirmed successful leave or encapsulate in transactional close flow
OD-003,critical,Totals,Zeilen-Aenderungen aktualisieren Header-Totale nicht automatisch,CalcLineTotals rechnet nur lokal in Controls waehrend Header-Totals spaeter aus DB-Recordsets berechnet werden,"sfrm CalcLineTotals 308-396, Form_AfterUpdate 189-191, CalculateTotalsForContext 299-383",Unify line and totals calculation on one consistent data source
OD-004,high,Redundancy,Mehrfache Berechnungslogik driftet auseinander,Zeilenberechnung existiert einmal lokal im Formular und einmal im Service,"sfrm CalcLineTotals 308-396, modOrderCalculationService.CalculateLineAmountsForContext 133-246",Keep exactly one canonical line calculation implementation
OD-005,high,OpenArgs,OpenArgs Verhalten ist fragil und schwer nachvollziehbar,Me.OpenArgs pending OpenArgs und direkte ApplyWorkspaceOpenArgs konkurrieren,"Form_Load 65-111, modAppWorkspaceService.ConsumePendingWorkspaceOpenArgs 300-306, ApplyWorkspaceOpenArgs 308-336",Use one single entry contract for hosted forms
OD-006,high,History,History speichert unterschiedliche ID-Welten im gleichen Kanal,GetCurrentWorkspaceRecordId und GetWorkspaceState liefern im Temp-Modus tmp_order_id und sonst order_id,"GetCurrentWorkspaceRecordId 360-366, GetWorkspaceState 372-381",Use explicit state type and typed payload
OD-007,high,Persistence,Temp -> Persisted Wechsel ist zweiphasig ohne klaren Transition-Controller,PersistTemporaryOrderAndReload persistiert und navigiert danach sofort erneut ins selbe Formular,"PersistTemporaryOrderAndReload 1079-1105, PersistTemporaryOrder 650-797",Move commit and reopen into explicit transition workflow
OD-008,high,Subform context,sfrmOrderLines kann vor finaler Parent-Konfiguration mit Default-RecordSource anlaufen,Form_Load setzt erst Defaults und ConfigureForOrderContext kommt spaeter,"sfrm Form_Load 46-64, ConfigureForOrderContext 67-81",Create child only after parent mode is stable or use separate subforms per mode
OD-009,medium,Command semantics,R3 bedeutet im Temp-Modus Aktualisieren und im Persisted-Modus Uebernehmen,Derselbe Command-Key hat zwei unterschiedliche fachliche Bedeutungen,"GetWorkspaceCommandBarConfig 276-328",Normalize command semantics across modes
OD-010,medium,UI defaults,Form_Current setzt weiterhin Default-Payment-Terms und Display-RowSources,UI-Ereignisse veraendern Daten und Anzeigen parallel,"Form_Current 147-159, EnsureDefaultPaymentTerm 1292-1312, RefreshPaymentTermDisplay 692-708",Move defaults into one initialization phase only
OD-011,medium,Undo,Cancel bei persisted order verwirft nur Header per Me.Undo,Es gibt keinen expliziten Child-Undo oder konsistenten Reset fuer bearbeitete Zeilen,"CancelCurrentEdit 842-857",Define explicit cancel semantics for child edits
OD-012,medium,Requery,RefreshCalculatedTotals macht harten Me.Requery und positioniert danach neu,Das kann Eventketten und Fokus-/State-Nachlaeufer erzeugen,"RefreshCalculatedTotals 495-519",Minimize header requery and update only affected fields
OD-013,medium,Architecture,frmOrderDetail nutzt nicht das sonst uebliche modFormRuntime.InitializeForm Muster,Das Formular verwaltet Translation/UI initialisierung selbst und abweichend vom Rest,"Form_Load 65-111 compared with other forms",Align lifecycle with one consistent form runtime pattern
OD-014,low,Existing order entry,Kein dedizierter persistierter Order-Einstieg gefunden,Analyse zeigt nur reopen nach Persistierung oder generische externe Aufrufe,"Repo search for frmOrderDetail references",Design target architecture with explicit persisted order entry path
