"GroupId","Classification","ProcedureNames","Modules","DefinitionCount","Visibility","Signatures","FunctionalCommonalities","RelevantDifferences","CallSiteCount","CallingModules","ProposedCanonicalSignature","ProposedTargetModule","RecommendedAction","RiskLevel"
"DG-EXACT-001","EXACT","TableExists","modAddressRepository; modContactRepository; modDocumentRepository; modNumberRangeRepository; modTenantRepository; modUserRepository","6","Private","Private Function TableExists(ByVal tableName As String) As Boolean","DAO.Database; ErrorHandling","","684","modAddressRepository; modAppNavigationService; modArticleGroupService; modBasicModuleSchema; modContactRepository; modDemoDataSeeder; modDocumentCalculationService; modDocumentRepository; modFwComposerService; modFwSetup; modFwTranslationAuditService; modFwTranslationEditService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modMigrationPaymentTerms; modMigrationTranslations; modNumberRangeRepository; modOrderRepository; modOutputPathService; modTenantRepository; modUserRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDb","MERGE_EXACT","LOW"
"DG-EXACT-002","EXACT","SetRecordsetFieldValue; SetRecordsetValue","modAddressRepository; modContactRepository; modDocumentCalculationService; modDocumentRepository; modFwTranslationAuditService; modOrderCalculationService; modOrderRepository","7","Private","Private Sub SetRecordsetFieldValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal fieldValue As Variant) || Private Sub SetRecordsetValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal fieldValue As Variant)","","Signature","916","modAddressRepository; modContactRepository; modDocumentCalculationService; modDocumentRepository; modFwTranslationAuditService; modOrderCalculationService; modOrderRepository","Private Sub SetRecordsetValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal fieldValue As Variant)","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-003","EXACT","ResolveFieldValue","modAddressRepository; modContactRepository","2","Private","Private Function ResolveFieldValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String","","","20","modAddressRepository; modContactRepository","Private Function ResolveFieldValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-004","EXACT","ResolveCreatedBy","modAddressRepository; modContactRepository; modDocumentRepository","3","Private","Private Function ResolveCreatedBy() As String","","","27","modAddressRepository; modContactRepository; modDocumentRepository","Private Function ResolveCreatedBy() As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-005","EXACT","HasControl","modAppDashboardService; modAppShell; modAppWorkspaceService","3","Private","Private Function HasControl(ByVal formInstance As Access.Form, ByVal ControlName As String) As Boolean","ErrorHandling","","81","modAppDashboardService; modAppShell; modAppWorkspaceService; modFwTranslationEditService","Private Function HasControl(ByVal formInstance As Access.Form, ByVal ControlName As String) As Boolean","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-006","EXACT","ExecuteSql","modAppNavigationService; modArticleGroupService","2","Private","Private Sub ExecuteSql(ByVal sqlStatement As String)","CurrentDb","","18","modAppNavigationService; modArticleGroupService","Private Sub ExecuteSql(ByVal sqlStatement As String)","MANUAL_TARGET_SELECTION","MERGE_EXACT","MEDIUM"
"DG-EXACT-007","EXACT","ConvertFieldNameToPascal","modArticleGroupService; modArticleService","2","Private","Private Function ConvertFieldNameToPascal(ByVal fieldName As String) As String","","","12","modArticleGroupService; modArticleService","Private Function ConvertFieldNameToPascal(ByVal fieldName As String) As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-008","EXACT","SetFieldValueIfPresent","modArticleGroupService; modArticleService","2","Private","Private Sub SetFieldValueIfPresent(ByVal formInstance As Access.Form, ByVal fieldName As String, ByVal fieldValue As Variant)","ErrorHandling","","20","modArticleGroupService; modArticleService","Private Sub SetFieldValueIfPresent(ByVal formInstance As Access.Form, ByVal fieldName As String, ByVal fieldValue As Variant)","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-009","EXACT","EscapeLikeValue","modArticleGroupService; modArticleService","2","Private","Private Function EscapeLikeValue(ByVal valueText As String) As String","","","8","modArticleGroupService; modArticleService","Private Function EscapeLikeValue(ByVal valueText As String) As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-010","EXACT","HasFormControl","modArticleGroupService; modArticleService","2","Private","Private Function HasFormControl(ByVal formInstance As Access.Form, ByVal ControlName As String) As Boolean","ErrorHandling","","38","modArticleGroupService; modArticleService","Private Function HasFormControl(ByVal formInstance As Access.Form, ByVal ControlName As String) As Boolean","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
